CHEETAH,Trail,Sex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,Area1,Area2,Area3,Area4,Area5,Area6,Area7,Area8,Area9,Area10,V77+V78,V79+V80,V73+V74+V75+V76,V22+V23+V24+V25,V94+V95,V96+V97+V98,V22-25/V77-78,V22-25/V10,V94+V95/V101+V102,V22-25+V10+V68,V2+V3,V1+V2+V3+V4,V1+V2+V3,V2+V3+V4,V93/V2,V93/AR 4,V93/V2+V3,AR10-AR8,V93/AR10-AR8
MALE AIKO,AIKO A,M,"2,3488323","3,43423453","3,31152446","3,22273742","1,56708126","1,927518","2,08898707","1,90579434","1,40764706","4,14437778","1,92565739","1,55276326","1,6230907","4,8911383","5,79550978","5,98906152","3,95899403","3,85253182","1,94297796","3,50203573","2,48702579","3,50430227","1,2089486","1,65959282","2,92667251","2,02627096","2,33564709","3,22196728","2,43517397","0,91193911","1,21866222","3,09992768","3,14128073","1,83548243","3,44017098","5,65560625","5,39024694","2,04173001","2,77525605","3,93157998","3,50455975","3,13094395","2,79727229","3,01656745","2,1819121","4,70259259","5,8620702","5,18770271","5,65268018","5,87208075","5,26520509","1,41390156","1,40057736","1,80105792","0,99687926","1,60738521","2,25161327","2,75670173","1,32219284","1,7749956","1,86247517","2,42291402","1,82659749","1,43153847","2,41607605","2,1631722","1,53669791","4,17196395","4,42621201","2,2549711","2,30447303","3,55211822","1,8067393","1,43790638","0,05499333","1,96703224","3,99495376","2,98446545","3,2141148","2,22152052","68,9194011","67,0018214","49,2143121","61,8662868","91,6656108","85,3461827","93,6240252","90,5305703","19,608835","22,7863169","29,7736422","106,683577","113,215604","5,28381602","4,43840546","3,99221655","0,04696725","2,93545334","4,69672535","5,02549613","4,86111074","2,11352641","4,88459437","5,46341416","6,70764899","5,8072972","4,3071814","43,4007059","1,74929686","3,20106987","3,41421717","3,04886119","12,6600673","24,4405228","7,53157227","9,05834666","27,1083108","6,9794192097","5,4356353228","5,2666712507","9,2995161965","9,7222214782","6,9746371474","1,3324197784","2,2438871852","1,3939393939","17,615857927","6,7457589864","12,317328713","9,0945912879","9,968496411","32,966765463","33,160047685","16,783226987","19,576738543","5,7831698584"
MALE AIKO,AIKO A,M,"2,59771031","2,87331254","2,82944594","2,49330814","1,36346952","1,61964675","1,8342246","1,52440527","1,47933692","4,40449934","1,54008028","1,56479386","1,32259327","3,22210777","4,39847563","5,35378784","4,1287386","2,70731637","1,69115927","2,95934711","2,39444072","2,70479847","0,96459439","1,58561582","2,43785469","2,29705367","2,41978944","2,38433892","1,77757129","1,57987082","1,53338204","1,45402906","2,56824481","2,53351737","2,83825151","4,25882403","4,04747955","1,48713722","2,19166222","3,83099267","3,68336646","2,84227437","2,24442743","2,74594077","2,21517406","3,55417733","5,43238856","5,18748959","4,60563518","4,33763467","3,88500105","1,26077333","1,6890321","1,87392812","1,06905497","1,44887139","1,93356796","2,26092045","0,98903197","1,40870202","1,99627219","2,0500789","1,34272237","1,04604917","1,89116","1,69143116","1,25705679","3,59189035","3,64695919","2,29067412","2,49267242","2,57968363","1,63124571","0,09224614","1,22881047","1,91843553","2,42490318","4,0998363","1,74958796","3,6241465","66,0421494","65,6481664","46,762391","67,1954595","91,1385324","89,0932948","86,5380467","100,384612","30,3824272","26,4849514","25,1294307","106,529099","118,222578","3,99629266","3,92136217","2,42275243","2,42275243","1,67344755","4,19610729","3,72154754","5,61978655","0,89916585","3,64661705","5,49632136","6,32441723","4,82059273","2,95403145","35,7467701","1,74925295","2,2417762","2,59299925","1,87651672","11,0242238","19,0168874","6,19475099","6,24029146","23,6713725","6,5247394819","5,3737344583","4,8707378459","7,6928633715","7,9176548336","6,5189524025","1,1790299663","1,7465920123","1,214559387","15,689253062","5,7027584729","10,793776917","8,3004687803","8,1960666093","41,145046666","45,592986064","20,730770733","17,476621521","6,7646128461"
MALE AIKO,AIKO A,M,"2,16378028","2,97614434","3,26155921","2,61045492","1,36400282","1,75236944","1,92540513","1,62364417","1,50378029","4,16997123","1,50561753","1,50946845","1,56627295","4,33808813","5,6233378","6,07557523","4,53157873","3,57384782","2,04948997","3,66851289","2,40706235","3,53960308","0,97015026","1,3810306","3,20905485","2,66775381","2,3915969","2,62944797","2,33486186","1,55012812","1,62925321","2,01999788","3,49905501","1,8516274","3,54193006","4,922477","4,16506249","2,13839419","3,01775144","4,29906413","3,90080484","3,38089637","3,09409802","3,48878282","2,41505598","4,20864095","5,65177929","5,28772926","5,10038016","5,11942361","4,56246406","1,28489499","1,29859179","1,31866069","1,21386766","1,38252319","2,27063409","2,33876582","1,05077992","1,63196581","2,0299638","2,54905159","1,39823079","1,38910619","1,82516133","1,77976288","1,19758878","3,51804413","3,48012115","2,57963052","2,26830652","2,92906407","2,01427632","0,47821017","0,97966746","1,86552938","3,22290932","3,66988215","2,54564604","3,20562834","68,4216607","68,783376","52,4193982","59,1589411","91,4977669","84,8120707","96,0451992","97,5127633","27,3787118","23,1781363","23,4034602","114,35521","113,53131","4,72627286","4,49113491","3,22138996","1,29325874","2,37489333","4,70275907","4,5146487","5,17565289","1,72438062","3,76220725","5,57078485","6,59636352","5,57673665","3,64008437","40,8727504","1,47458049","2,5925414","3,04370663","2,11760153","11,0999917","23,578636","7,95261659","5,83860891","25,6481353","6,8927914654","5,7512743801","5,3376833319","9,0998387922","9,2174077688","6,8895420313","1,3201964455","2,1822305941","1,335849711","16,787854152","6,2377035484","11,011938747","8,4014838277","8,8481584674","38,147111408","37,300345679","18,200818401","17,695518757","6,4158226203"
MALE AIKO,AIKO A,M,"2,62006695","2,88200117","3,08006992","2,48440687","1,04421792","1,57638119","1,36616654","1,65623532","1,53245261","4,5132382","1,4498467","1,2669096","1,4498467","4,83951594","6,01204149","6,28940912","4,687798","4,1186558","1,89338569","4,02479609","2,26461303","4,0026446","1,21733918","1,32435602","2,78191552","2,25442276","2,11961679","2,86999026","2,54825643","1,65477957","1,85670971","2,57803106","2,67578809","1,74473426","3,53771073","5,02454851","5,15086605","2,51785284","3,61591285","4,46049161","3,99605256","3,45195453","3,59776386","3,71519015","2,49555435","4,42128679","5,54449484","5,24917103","5,6718383","5,78098056","5,08625697","1,32800014","1,5422069","1,20805166","1,54428909","1,30419491","2,04188634","1,62209258","1,58316136","1,44039652","1,89086455","1,92580426","1,49638153","1,18748377","1,79168074","1,3869807","1,56153269","3,91326908","3,5246676","2,235725","1,94545069","3,10487705","1,74917139","0,93541701","0,45910862","2,01719275","3,1937793","3,47149924","2,52436702","2,87175698","73,6051069","75,5855954","45,3684565","61,0264366","86,9690833","78,9332305","88,3608869","98,5975073","20,5632045","19,6765874","25,3357307","106,405515","105,622957","5,46152917","4,07300481","3,19360604","0,83311462","2,63819629","4,14243102","5,39210295","4,90611943","1,75879753","4,04986273","5,73073611","6,80589435","6,06362053","4,41552932","41,3467615","1,31264661","2,19470657","2,10392991","1,97432547","11,8507728","24,97349","6,96864858","6,57742526","23,8290078","6,6652785407","5,3961240035","5,1608897741","9,3262553234","9,5345339782","6,6649169557","1,3992296445","2,0664221341","1,4305555556","17,752762606","5,962071086","11,066544904","8,5821380329","8,4464779576","36,649172282","50,202697846","17,715816511","16,860359251","6,264573359"
MALE AIKO,AIKO A,M,"2,0061209","3,08698913","3,24347857","2,51060586","1,3310325","1,67377793","1,8615694","1,58942868","1,49584354","4,19223877","1,76643894","1,38851336","1,56003733","4,64058392","5,45723886","5,66995172","4,03061084","3,83719269","1,62004617","3,61897598","2,05097574","3,61919232","0,92449346","1,3724439","2,99724656","1,87681968","1,82632936","2,7554196","2,74840253","0,87537622","2,02391828","1,96599443","2,97277558","1,58401981","3,47690795","5,25482446","3,93619611","2,17971758","2,85600544","3,74170077","3,21479528","3,22317192","2,91231316","2,97311195","1,72142883","3,43549201","4,5180269","4,4899206","5,44368593","5,59550997","5,1466762","1,20890692","1,20204169","1,40693411","0,98603273","1,34204053","2,3063464","2,28820062","1,19051166","1,46666667","1,95896603","2,64786475","1,56003733","1,1812066","1,74127271","1,78490907","1,27912806","3,7919859","3,35715625","2,00167134","1,83382059","3,03458747","1,62888528","1,21880191","0,01580523","1,81661957","3,54233308","2,77441472","2,9072933","2,06243884","77,408574","65,7090376","49,081432","53,509994","92,3238037","84,9244281","90,9093804","94,1827347","19,3310202","18,7673505","26,7870601","126,702193","91,9865865","4,82807879","4,25861309","3,54059111","0,02475938","2,74829101","4,45668812","4,63000377","4,53096625","1,78267525","4,11005682","5,20117876","6,10909754","5,34808305","3,98933444","36,2114943","1,31034483","2,58237548","2,93118774","1,99509579","11,1316475","20,7083525","5,39708812","6,2810728","21,3538697","6,3167477931","4,9697321405","4,6801119939","8,9133762325","9,0866918815","6,313641498","1,4110704629","2,1261613955","1,4392156863","16,897600905","6,3304677079","10,847194465","8,3365886097","8,8410735635","29,798156867","31,382018025","14,530772562","15,956781609","5,76473306"
MALE AIKO,AIKO A,M,"2,46456087","2,86951145","2,94484192","2,73786223","1,55872515","1,74413948","1,85779373","1,65624439","1,60915512","3,61957621","1,61637804","1,42836221","1,54564531","4,67047802","5,26633892","5,80871373","3,96828583","3,50685251","1,75948641","3,25247737","2,55623635","3,25307414","1,14239936","1,46633247","2,83286222","2,13830608","2,24268917","3,3728276","2,05642341","0,91617968","1,1552615","2,78092194","2,63945023","1,90467711","3,95921737","4,71586484","5,197124","2,46091991","3,05561423","4,2289975","4,05751612","3,78472245","3,42315339","3,68186949","2,49319557","4,10742138","5,47262371","5,00982533","5,20371597","4,94671364","4,67809678","1,31555735","1,50991813","2,08407512","0,9121749","1,40581512","1,98862497","2,27407965","1,11300291","1,47083783","1,760852","2,52855146","1,2599906","1,35959967","1,8243498","1,66186151","1,55359213","3,24324039","3,28403234","2,26716211","2,16586145","3,43215709","2,04017747","1,23730995","0,115601","2,23283486","4,15474021","3,25153582","3,71680906","2,47787271","80,9888848","85,2390861","36,1590975","62,8520177","101,565092","94,9223619","102,426934","91,3867363","23,8977815","22,6909298","34,2375388","113,180197","126,558284","4,54083561","4,3860344","4,15383258","0,36120283","3,61202833","4,23123318","4,69563682","4,85043804","2,55422003","3,40562671","5,23038257","6,30159049","5,16648649","3,93560924","40,6106677","1,7722943","2,45425317","2,55876029","2,24956566","8,58123265","21,824681","7,18869193","5,10953278","27,0044399","7,4062760234","6,1946817702","5,6259232831","8,6946681856","8,9268700066","8,1270637343","1,1739595119","2,4021232521","1,2055749129","15,557484794","5,8143533679","11,016776468","8,2789142351","8,5522156012","44,104470912","49,460781665","21,76652779","19,815747958","6,3867528207"
MALE AIKO,AIKO A,M,"2,33690713","2,61025099","2,93372855","2,76031338","1,40292941","1,5282255","1,63532819","1,65956748","1,71831864","4,81140536","1,61091198","1,40292941","1,28756473","5,17142031","6,30012287","6,50318583","4,80536546","4,3679068","1,93221607","4,20171464","2,30147119","4,19942982","1,27592139","1,27899201","2,6419628","2,24823148","2,16752702","3,03110644","2,02628588","2,1793582","1,95315331","2,86190362","2,55354039","2,31126396","3,15397251","4,77809144","5,19593176","2,05991725","2,5798618","3,89886045","3,84177613","3,51314748","2,98056005","3,06348822","2,12992979","4,78467162","5,96958394","5,76430818","5,47208099","5,43380064","4,62834889","1,24163373","1,4630956","1,54103896","1,21528372","1,1484763","2,05754682","2,0002904","0,97401763","1,51869385","1,76092445","1,91561925","1,53691091","1,39861004","1,86456102","1,4194363","1,71779038","3,90948057","4,55701106","2,06311067","2,37084761","2,98902055","1,80740859","1,02429682","0,42955065","2,10667245","3,51928193","3,37161975","2,85469688","2,70704014","75,0741535","71,7841987","48,318829","56,6070175","93,2294968","89,9257763","88,7803755","90,9499287","19,6130269","19,4094804","25,9573125","95,83686","116,381048","5,5590711","4,0340162","3,51746534","0,86091809","2,50896129","3,81263726","5,78045004","4,96872726","1,91861746","4,89493429","5,94938018","7,03961644","6,32279482","4,69009713","44,2130484","1,63755392","1,99422787","2,39537262","2,20659862","15,9302262","27,2908511","7,41936265","8,75832693","24,7777973","6,890901681","5,5617370197","5,367928521","9,396306016","9,5930872938","6,8873447237","1,363581495","1,9529233793","1,3928571429","18,117191945","5,5439795345","10,64120005","7,8808866664","8,3042929177","44,586152336","48,585780481","20,992330042","17,358434628","6,7045819873"
MALE AIKO,AIKO B,M,"2,15153011","3,01425405","2,77718048","2,48572786","1,6125294","1,85026256","2,20845523","1,85513039","1,55721833","4,04177976","1,25901319","1,66535544","1,20991894","3,29247504","4,22608225","5,41152199","4,04445649","2,54422756","1,68185468","2,68639356","2,72512842","2,51534937","1,01858961","1,24909522","3,08711329","2,22878011","2,69423719","2,84734729","2,11636761","0,87451685","1,53763577","1,33359425","2,97583132","2,67151308","3,1238048","4,54729725","3,4264868","1,55818393","2,54196389","4,15193476","3,93057558","3,01659871","2,62691484","3,06876507","2,38016534","3,1259982","5,26693278","5,05107319","4,79361501","4,61204698","4,48217555","1,22090089","1,49890654","1,45593219","1,21616411","1,90255536","1,79182362","1,91163501","1,46777725","1,45146537","2,00466981","1,81104803","1,82335607","1,45270753","1,65775649","1,55257822","1,5395115","3,72123145","3,43227239","2,6302402","2,65325589","2,88804912","1,7394514","0,43670336","0,89357245","2,22289609","2,95720728","4,16697389","2,07467834","3,3949282","68,1332714","56,4271016","44,6350637","67,2316649","85,9743885","85,2604594","83,8430498","97,3666541","31,4804073","29,3056657","30,9650522","126,779525","113,892536","3,65303775","4,4588549","2,95466288","2,04140345","2,12198516","4,16338861","3,94850404","5,39897491","1,71907659","3,65303775","5,18548188","6,14690553","4,43459822","2,87119283","36,0193215","1,73446271","2,7474351","3,02737334","2,3008326","9,69719052","19,1021775","6,74088397","6,27624421","25,1226534","7,1241811722","5,4696065416","5,292623291","7,870147499","8,111892644","7,1180514923","1,1047090618","1,9471985044","1,1396226415","15,63315871","5,79143453","10,428692509","7,942964644","8,2771623949","37,784650704","37,6209088","19,665686597","18,381769383","6,1959506751"
MALE AIKO,AIKO B,M,"2,1684425","2,91424466","2,83271064","2,8546955","1,47332046","1,98136819","1,93046294","1,60265956","1,20430192","3,90386734","1,48881232","1,28021517","1,15559953","4,02210454","5,01607738","5,41036893","4,00379772","3,23751315","1,77856423","3,08406838","2,32630055","3,07782242","0,85726632","1,6519831","2,6407549","1,98136819","2,00502463","3,20801054","1,82750887","1,38205446","1,98136819","1,48300409","2,73447825","1,96161541","3,33748461","4,56456602","3,64307669","2,21388536","2,46870719","2,991058","3,14189737","3,28089336","2,78481775","2,4085796","2,00956689","3,19143224","4,54191294","4,98019485","4,57258317","4,62881466","4,15260612","1,34265396","1,25765454","1,66451116","0,93262258","1,73181988","1,79871643","2,40423012","1,06398662","1,30867329","2,00449963","2,10569851","1,5088953","1,45737512","1,92150077","2,24438376","0,95756817","3,03316683","3,67007582","2,13134176","2,00199225","3,34776849","1,58484837","0,98001695","0,22223132","2,36315292","3,41247622","3,26857662","2,83082291","2,72750821","75,0654049","72,7536661","51,311353","53,6232421","96,9763322","91,6668246","92,1168128","92,0151343","21,9987836","21,7517296","36,0870559","119,006803","121,386058","4,32935522","4,08313597","3,40603302","0,30777407","2,95463105","4,49350139","3,9189898","4,73972065","1,92871749","4,20624559","5,19756605","5,88502506","4,9655912","3,45834837","36,3871932","1,50675704","2,66808403","2,73397045","2,19677514","10,7807435","19,4114428","6,46570959","5,53172231","24,237149","6,6810528341","5,5583311197","5,1502495588","8,2278267479","8,4124911886","6,6684381373","1,2315164918","2,1076092082","1,2615384615","15,164860919","5,7469553033","10,770093307","7,915397806","8,6016508048","41,65266532","44,399184277","21,121802977","17,771439397","6,8304010114"
MALE AIKO,AIKO B,M,"2,51274931","2,59183722","3,073047","2,39604619","1,5578848","1,65349718","1,65564505","1,72461285","1,59990002","4,70794885","1,56970205","1,63968423","1,65449987","4,27099435","4,87837887","5,36624987","4,55218798","3,52083919","1,35753968","3,4851389","1,88111097","3,41602203","1,23849834","1,21336663","2,46919988","1,90888042","2,30718682","2,67983374","1,93047827","2,01043515","1,86912209","2,20382693","2,06347286","2,68416226","3,13895126","4,32238487","4,6922217","2,38729664","2,37853427","3,78906581","3,91035089","3,65229373","2,82922539","2,93842202","2,31456978","3,51805107","4,97613261","5,3907853","5,65214309","5,0926072","4,1201085","1,62444182","1,30679644","1,76333028","1,14710585","1,2931276","1,68641147","2,20146058","1,01471812","1,5045034","2,01549611","1,86366367","1,6061075","1,25141479","1,69132139","1,54597723","1,42142566","3,84527714","3,67625426","1,7578526","2,55187497","2,87085532","1,71064613","0,87980717","0,66447075","2,31781583","3,46292068","3,89850819","2,80822609","3,06945642","92,8989794","83,8181116","37,2963867","49,8046339","94,5221266","91,4775695","86,7102479","92,5301795","22,8668371","25,4611603","29,9373199","110,412799","113,925006","5,28958776","3,56992754","3,46108828","1,17546395","2,72098136","3,8093739","5,0501414","5,37665916","1,98087443","4,17942736","5,96729016","6,308209","5,25255129","4,07245017","40,8290767","1,83494281","2,03821988","2,53385582","2,05314582","12,663593","22,7933302","5,44133395","6,49467878","24,2885302","7,3614288721","5,8776825154","5,5727398759","8,337086875","8,8595152953","7,3575335868","1,132536498","1,7708533253","1,2041420118","16,890312868","5,6648842218","10,573679716","8,1776335287","8,0609304085","43,955309056","44,961124167","20,110738665","18,847196293","6,0446659748"
MALE AIKO,AIKO B,M,"2,44020201","2,98025964","3,34936758","2,6123395","1,27797289","1,65979664","1,83379612","1,95188797","1,67632976","5,13800444","1,67996249","1,71146239","1,68823652","4,72475505","5,89474772","6,14474222","4,29144314","3,64682511","2,24792261","3,53730285","2,60743937","3,50744655","1,26070021","1,20371306","3,47359426","2,66100372","2,44827823","3,08093383","1,83695948","1,86534391","2,33565276","1,69595676","3,09419088","2,2282844","4,13749365","4,39054969","3,98459035","2,01885118","3,0001997","4,45001646","4,30709233","3,32765149","3,06674095","3,44583412","2,63118303","3,83974454","5,31731436","5,23516983","6,05872433","5,81302241","4,77462838","1,27524412","1,5041875","1,24972056","1,46369287","1,31027494","2,11341429","2,32043987","1,16658282","1,5961367","2,08979381","2,14896611","1,83189549","1,47219646","1,65278586","1,41015568","1,96005086","4,3428838","3,57150944","2,3725224","2,49159009","3,35134128","2,16696466","1,01367647","0,44387358","2,01389457","3,66371912","3,88064986","2,7959214","3,10925742","68,6099919","63,1618648","49,6838523","61,7061559","80,6648708","83,7218947","90,1673405","104,665625","26,1745814","23,3470377","27,7306911","115,093378","109,188239","4,91549141","4,77091813","3,66252301","0,74696193","3,13242099","4,57815376","5,10825578","5,54197561","1,99993033","4,36129385","5,57732522","6,78836154","5,90345797","4,03152403","45,8292934","1,52928813","2,45272502","3,06786579","2,47681973","14,8919802","26,6014271","9,03406353","6,96278964","28,7949163","7,5443689735","5,9051788173","5,6384092763","9,4454540761","9,6864095373","7,5419059332","1,2519872914","1,8383507033","1,2843450479","18,926342316","6,3296272277","11,382168733","8,7698292342","8,9419667262","36,637156546","35,590943879","17,250342748","19,760852778","5,5254821424"
MALE AIKO,AIKO B,M,"2,34532569","2,89728692","3,20322296","2,51656878","1,42246015","1,552335","1,97993713","1,64228186","1,4944485","4,12287108","1,20170567","1,42666241","1,26608276","4,76313126","5,81036669","6,43473977","4,83976057","4,06833375","1,74203293","4,07343468","2,36130508","4,00354256","1,13762128","1,27995128","3,08523509","2,30821768","2,30572258","2,77983489","2,24757088","1,84747168","1,98968143","2,26054354","2,67283394","2,18102299","3,55534097","4,7564074","4,50373865","1,96331691","2,85439297","4,13528933","3,86859322","3,12520554","2,88447074","3,24047543","2,37470577","3,90135549","5,33920327","4,97446973","5,39556997","5,17914474","4,67910197","1,32855486","1,47678044","1,57486473","1,11277019","1,40421438","2,02500941","2,04953395","1,15500624","1,47381517","2,24787819","2,28173169","1,58854808","1,24758009","1,8515798","1,51677548","1,39945125","3,85671962","3,33837955","2,28605081","2,2692166","2,9538465","1,85616397","0,67618831","0,80153759","1,96688143","3,21899862","3,58381846","2,36097687","2,94048937","75,4481493","64,2172223","43,5087728","61,0430778","86,4981976","89,8471017","94,1524851","93,2157059","22,5481446","20,9140912","23,5405545","116,190218","107,983542","5,17162619","4,33472403","3,21885447","1,07295149","2,51070649","4,39910112","5,1072491","4,78536365","2,0171488","4,29180597","5,61431544","6,77442913","5,73442134","4,24802079","40,5931111","1,65523117","2,24120464","3,17070363","2,03076073","12,3114294","23,7709523","6,7864708","6,31815251","24,4105728","6,8028170733","5,3014662405","5,300771308","9,5063502155","9,5063502155","6,8025124567","1,3974137645","2,305759756","1,3974763407","17,485940917","6,1005098793","10,962404351","8,4458355684","8,617078662","37,270572422","34,056649463","17,700740457","17,624102045","6,1270379483"
MALE AIKO,AIKO B,M,"2,53017443","2,62591708","2,91073928","2,67032089","1,37612733","1,49275476","1,78228821","1,70381411","1,4460946","4,3622402","1,78996556","1,70522197","1,78996556","4,14090194","5,6797157","5,73611214","3,76558583","3,15432155","2,52539415","3,13007322","2,60603893","3,08477469","1,18429316","1,38681668","2,88031157","2,92671311","2,17395686","2,8262446","2,2312334","0,98706061","1,66535201","1,78459488","3,065394","1,94631408","3,24404467","4,8917665","4,24482181","1,59743102","2,93048192","4,10931343","3,65715415","2,90489425","3,03775011","3,36767616","2,21691183","4,32688972","5,38570589","4,76280009","5,30489648","5,70825383","4,91442016","1,44086973","1,37985904","1,73076381","1,18556048","1,05942721","2,09280728","1,79780081","1,16661361","1,52231713","1,75749534","2,0727264","1,49985715","1,3000356","1,99158325","1,68336962","1,38877423","4,20424716","3,34015985","2,68265408","2,15460078","3,06349307","2,10126971","0,5963597","0,60024868","1,62595034","3,17702313","3,20327952","2,40898786","2,74938831","57,1674674","62,3041998","55,0177656","67,814767","84,6822416","82,0383333","88,1248172","100,091057","29,7450885","21,9489662","25,1789563","114,456443","101,333744","4,68705246","4,03243619","3,16834272","1,25686323","1,93766414","4,5037599","4,21572875","4,97508362","1,38778648","3,79677434","5,14033436","6,48745526","5,8038442","3,44942399","37,9883442","1,68426466","1,92903668","2,57422009","2,24888584","11,5683922","22,6516969","8,86698663","6,92766541","24,2619129","6,3803026506","5,1583761692","4,9238284282","8,5361960973","8,7194886516","6,3628700971","1,3378983043","1,9568377058","1,3703703704","17,102683456","5,5366563615","10,737151681","8,066830793","8,2069772494","38,589849134","39,364833044","18,302335816","15,394926294","6,5822818565"
MALE AIKO,AIKO B,M,"2,5318929","2,97180175","3,05147723","2,35425818","1,21009118","1,79368022","1,75277267","1,69526513","2,0511518","4,57336197","1,88537255","1,50182072","1,59219249","4,59329577","5,7764292","6,60863863","4,8498967","3,8954112","1,88101801","3,96719131","2,64144732","3,84580685","1,13063297","1,32270225","3,11106484","2,44494613","2,64116045","2,88575852","2,28983455","1,7845613","1,91181295","2,1204653","2,94328646","2,00122951","3,7104211","4,60797166","4,64329644","2,20634966","3,67932085","5,47426252","4,69487902","3,5840524","3,71234473","4,52877362","2,77105829","4,17345606","6,05609513","5,6044495","5,32217946","5,20352089","4,81634809","1,2731627","1,54466316","1,50632644","1,29292103","1,44387916","2,26193224","2,02206647","1,30528637","1,70765672","1,80163883","1,89612533","1,63374102","1,25249181","1,7151365","1,41791809","1,41170885","3,96927281","3,32784032","2,43698101","2,49468262","3,32188726","1,89056829","0,57419599","1,02227429","1,98025674","3,06958459","3,8313793","2,44459334","3,09498974","68,048705","68,636309","46,0610936","65,8902015","90,1973918","85,0797928","98,2990642","91,4772206","23,9739358","23,4072386","23,3150088","106,747987","111,925832","5,10839804","4,41383515","3,06951987","1,29950476","2,53179377","4,45864566","5,06358753","5,71333991","1,18747849","3,4504092","6,26342087","7,42084219","5,91583583","4,03045558","42,9577571","1,53133706","2,66032479","2,6701137","1,9665671","11,9035667","26,4400994","7,79448307","5,08446073","25,3211516","6,9009638912","5,5395830844","5,4672953084","9,4102069147","9,5222331875","6,9008184041","1,3636076153","2,0576125366","1,3798701299","17,952841689","6,0232789752","10,909430054","8,5551718767","8,377537152","37,662617261","41,918002124","18,582209506","17,526668507","6,3860300537"
MALE AIKO,AIKO C,M,"2,42884462","3,0011117","3,54124386","2,80763801","1,3633319","1,82234737","1,75226415","1,54648408","1,45324369","3,9083902","1,57601002","1,34176111","1,43993248","4,44513272","5,7502667","6,21761248","4,76021414","3,7976122","1,9526545","3,87341334","2,34419915","3,76287268","1,21592377","1,36302672","3,16478432","2,48810212","2,32182137","2,68613025","2,69170007","1,37625342","1,34725838","2,81241403","2,95401382","2,05121821","3,55505805","5,41025018","5,22848495","1,88635007","2,46868936","3,71138401","3,70805155","3,21716759","2,74338184","2,94675071","2,26790698","4,8740382","6,15760434","5,66332156","4,92990566","5,17430035","4,77795527","1,28927325","1,50207813","1,73407658","1,04830523","1,36675164","2,31233577","2,44647842","1,05348756","1,56449032","2,30593413","2,81773423","1,2710408","1,45591804","1,9257208","1,54056149","1,50840977","3,70970201","4,35450815","2,36142824","2,26485686","2,66474797","1,83923545","0,39104301","1,06971994","1,98951158","2,85988429","3,74743459","2,11154291","3,25611758","71,0968072","64,8056541","44,9651247","63,9380681","89,3442085","89,5001524","96,6090409","91,8913528","24,1856009","21,9264334","23,9372566","100,428306","117,91591","5,20693854","4,53634797","2,85987155","1,4397974","2,30762049","4,51662472","5,22666179","5,3055548","1,30173464","4,47717822","6,03302654","7,02272417","6,03431599","4,13741931","41,7608387","1,62274133","2,71215451","2,97998561","2,13875868","12,1033591","24,1236652","7,57882248","8,01392644","25,6079202","6,6073188747","5,3676604887","5,2895099809","9,5066074885","9,7432865132","6,6072894371","1,4387995598","2,4323588475","1,4746268657","17,124699703","6,5423555636","11,77883819","8,9712001805","9,3499935728","39,290743448","39,56928845","18,023464011","18,029097699","6,5403112245"
MALE AIKO,AIKO C,M,"2,31274521","3,28489517","3,62848928","2,89925248","1,4121271","1,69316834","2,00060382","1,99764216","1,61128567","4,27734237","1,77610998","1,44302525","1,6418617","4,50020755","5,22470483","5,45244768","3,8691826","3,5502263","1,67447852","3,36821535","2,08423233","3,36745639","1,10265551","1,55683069","3,04910111","2,07184256","1,84173507","2,74483752","1,90556702","1,35149776","1,35674462","2,57695448","2,91879137","1,82818323","3,49923826","4,80393942","4,87441303","1,66210332","2,82680834","3,9639417","3,79748343","2,97251029","2,87201128","3,16330325","2,19034278","4,19946377","5,29673431","5,06736815","5,09690113","4,86997752","4,30156663","1,2750817","1,56940276","1,54660151","1,06007319","1,61293837","2,14471855","2,30132481","1,36349193","1,71936677","2,18614177","2,62069658","1,84494703","1,53217842","2,13932858","1,86108273","1,54296041","3,8783531","3,78533571","2,32618063","1,87180446","3,0577481","1,86080653","1,10780214","0,09018882","1,83210696","3,82273635","2,87313942","3,05975774","2,08063527","80,5621946","65,1478431","41,939931","57,4978744","92,0937906","90,2850513","92,591018","92,6013673","23,0915524","19,7161442","28,2552323","102,861314","117,943366","4,6231858","4,74484858","3,82021142",0,"2,87124171","4,50152302","4,86651137","4,6231858","2,06826733","4,06353699","5,17894908","6,04799883","5,25724022","3,87040658","39,2674869","1,62938578","2,7575815","3,60631861","2,88162086","11,8100866","20,9093654","5,70699475","7,22388661","24,5328541","6,6958757706","5,1403930106","4,8909044532","9,0760437012","9,3680343833","6,6914531309","1,3554677554","2,121888528","1,4","17,231739168","6,9133844553","12,125382145","9,2261296627","9,8126369379","35,904757854","32,704643889","17,060148548","18,825859394","6,2649658273"
