Self/Self;Self/Nonself;Nonself/Self;Nonself/Nonself;Predicted number of animals at ward of Control;likeliehood of corrct number of animals %;Wads distance to correct number of animals in Cluster;Species;Imputation Stratagy used;Mice itteration;Percentage of Mssing Values;Balanced accuracy;Error Rate Dendrogramm;Overall Score;Weighted Overall Score;Fercentage dataframes missing;Weighted overall score definde 0-1 (negatve values = 0);Range Scale[Wei... Overall Score];Dataframes Remaining;Number of Mistakes/Shuffels needed for correct Cluster classification;Cluster Accuracy;weigted cluster accuracy;Wads distance to correct number of animals in Cluster Prediction Formula;Comments;Number of Trails Controls;Number of animals control;Number of Variables for best Model;Number of Animals in Dataset with 2prints +;Number of trails in Clustermodel;Self/Self in percent;Nonself/nonself in percent;Overall Accuracy;Fehlerrate im Cluster;Precision;Recall;F1 Score;Sensitivity;Specificity;G-mean;Mathews Cooreletaion Coefficiant;Number of animals missing;percentage animals left in databse;percentge missing animals;Wads distance to correct number of animals in Cluster Prediction Formula 2;Wads distance to correct number of animals in Cluster Prediction Formula 3;Wads distance to correct number of animals in Cluster Prediction Formula 4;Cluster Accuracy Prediction Formula;Cluster Accuracy Prediction Formula 3;Cluster Accuracy Predictor;Cluster Accuracy Prediction Formula 2
47;4;93;3426;34;14,8;1,689;Amur Tiger;Miss Forrest;;1;0,947570332;0,227272727;0,868309607;0,868309607;1210;0,868309607;0,933276868;1210;;;0,720297605;1,657862523;;85;44;18;44;85;0,921568627;0,973572038;0,972829132;10,58823529;0,882352941;0,365853659;0,517241379;0,365853659;0,998259356;0,604331728;0,559647642;0;1;0;1,636969342;1,65096087;1,636616262;85,40113069;89,54353006;88,63978663;89,57534443
41;10;123;3396;38;19,3;1,751;Amur Tiger;Miss Forrest;;5;0,884484228;0,136363636;0,882353088;0,882353088;1210;0,882353088;0,940392231;1210;;;0,748120592;1,625934316;;85;44;18;44;85;0,803921569;0,965046888;0,962745098;7,058823529;0,941176471;0,340425532;0,5;0,340425532;0,999125109;0,583204678;0,55731808;0;1;0;1,597424982;1,610681474;1,592689774;86,26913509;90,04713927;88,19688305;90,82675174
46;5;224;3295;35;2,6;1,572;Amur Tiger;Miss Forrest;;10;0,919153169;0,204545455;0,86543767;0,86543767;1210;0,86543767;0,931821753;1210;;;0,714607714;1,653350179;;85;44;18;44;85;0,901960784;0,936345553;0,935854342;12,94117647;0,901960784;0,272189349;0,418181818;0,272189349;0,998529844;0,521334047;0,484474579;0;1;0;1,610196043;1,628653165;1,616899026;85,00408015;89,23648454;87,6158714;88,01983401
45;6;260;3259;30;1,7;1,567;Amur Tiger;Miss Forrest;;15;0,904234157;0,318181818;0,800550137;0,800550137;1210;0,800550137;0,898945403;1210;15;82,35294118;0,586052339;1,647449749;;85;44;18;44;85;0,882352941;0,926115374;0,925490196;14,11764706;0,862745098;0,214634146;0,34375;0,214634146;0,997919762;0,462804123;0,416719515;0;1;0;1,616350865;1,636721866;1,634137461;83,60174814;88,33084675;82,60536364;85,29938616
34;17;134;3385;38;63,4;1,798;Amur Tiger;Miss Forrest;;20;0,814293833;0,136363636;0,846924919;0,846924919;1210;0,846924919;0,922441959;1210;;;0,677930197;1,671104748;;85;44;18;44;85;0,666666667;0,961921;0,957703081;18,82352941;0,823529412;0,200956938;0,323076923;0,200956938;0,997322226;0,447681606;0,392274209;0;1;0;1,632462892;1,653736638;1,656475936;82,7485244;87,80514118;81,55115233;83,75931197
46;5;91;3428;39;16,8;1,71;Amur Tiger;Miss Forrest;;2,5;0,938050583;0,113636364;0,920861826;0,920861826;1210;0,920861826;0,959903325;1210;;;0,824414219;1,710984122;;85;44;18;44;85;0,901960784;0,974140381;0,973109244;20;0,725490196;0,243421053;0,36453202;0,243421053;0,995904037;0,492365727;0,407193965;0;1;0;1,704919003;1,730989517;1,735928164;81,76516052;87,2863603;78,74518107;82,04244174
39;12;66;3453;40;19,5;1,749;Amur Tiger;Mean Imputation;;1;0,872975277;0,090909091;0,899486917;0,899486917;1210;0,899486917;0,949073372;1210;;;0,782066186;1,770656596;;85;44;18;44;85;0,764705882;0,981244672;0,978151261;12,94117647;0,803921569;0,398058252;0,532467532;0,398058252;0,997115662;0,63000803;0,557428386;0;1;0;1,78300888;1,830100835;1,772167031;80,28695751;87,27843056;88,08562878;86,95837299
40;11;132;3387;38;12,9;1,751;Amur Tiger;Mean Imputation;;5;0,873401535;0,136363636;0,876759167;0,876759167;1210;0,876759167;0,937557978;1210;;;0,737037898;1,753332886;;85;44;18;44;85;0,784313725;0,962489344;0,959943978;14,11764706;0,803921569;0,277027027;0,412060302;0,277027027;0,997077732;0,525563964;0,460460855;0;1;0;1,756806975;1,810205818;1,757440702;79,514774;86,74415089;82,25377118;84,41222643
25;26;145;3374;40;33,9;1,795;Amur Tiger;Mean Imputation;;10;0,724495595;0,090909091;0,824542714;0,824542714;1210;0,824542714;0,911101642;1210;;;0,633586504;1,789350417;;85;44;18;44;85;0,490196078;0,958795112;0,95210084;20;0,745098039;0,258503401;0,383838384;0,258503401;0,996202162;0,507465908;0,426487028;0;1;0;1,786721622;1,843094133;1,796565848;78,35505583;86,0387027;78,74518107;82,19926538
15;36;87;3432;43;83,7;1,869;Amur Tiger;Mean Imputation;;15;0,634697357;0,022727273;0,813631959;0,813631959;1210;0,813631959;0,905573526;1210;;;0,611970084;1,840119899;;85;44;18;44;85;0,294117647;0,975277067;0,965546218;31,76470588;0,333333333;0,129770992;0,186813187;0,129770992;0,990430622;0,358509644;0,190513504;0;1;0;1,956556174;2,036919516;2,048603668;70,10649515;81,20742127;70,63548599;66,51023126
24;27;201;3318;41;77,3;1,837;Amur Tiger;Mean Imputation;;20;0,706734868;0,068181818;0,827049547;0,827049547;1210;0,827049547;0,91237177;1210;;;0,63855305;1,860678118;;85;44;18;44;85;0,470588235;0,9428815;0,936134454;37,64705882;0,352941176;0,110429448;0,168224299;0,110429448;0,990314059;0,330695985;0,177215708;0;1;0;1,921925058;1,986935523;2,00890603;70,23464969;81,06659609;70,02206903;66,61380545
41;10;69;3450;40;21,7;1,748;Amur Tiger;Mean Imputation;;2,5;0,892156863;0,090909091;0,909168705;0,909168705;1210;0,909168705;0,95397881;1210;;;0,801247772;1,806164456;many mistakes in clustzer not 100% sure if counted correctly;85;44;18;44;85;0,803921569;0,980392157;0,977871148;41,17647059;0,352941176;0,072289157;0,12;0,072289157;0,990063234;0,267527263;0,133842025;0;1;0;1,858789705;1,906917607;1,947220789;68,7589212;80,04552828;71,81228982;65,18216736
36;15;49;3470;40;22,2;1,766;Amur Tiger;Deletion of every row with missing values;;1;0,845978971;0,090909091;0,885860699;0,885860699;;0,885860699;0,942169421;1078;;;0,75506988;1,886189273;;85;44;18;44;85;0,705882353;0,98607559;0,982072829;14,11764706;0,705882353;0,423529412;0,529411765;0,423529412;0,995695839;0,649389308;0,538596549;0;1;0;1,863627865;1,906437463;1,88368429;85,47950801;85,31995805;84,47073977;86,06825656
17;34;18;3501;57;10,6;2,182;Amur Tiger;Deletion of every row with missing values;;2,5;0,664109122;0,295454545;0,690819957;0,690819957;;0,690819957;0,843348778;929;;;0,368654576;2,337588332;;85;44;18;44;85;0,333333333;0,99488491;0,985434174;27,05882353;0,333333333;0,485714286;0,395348837;0,485714286;0,98897893;0,693080944;0,394267609;0;1;0;2,288248386;2,333980152;2,332788283;80,00881271;81,37056865;73,03684254;74,25992837
3;39;7;2801;64;0;2,697;Amur Tiger;Deletion of every row with missing values;;5;0,534467847;0,454545455;0,545084168;0,522356895;;0,522356895;0,75799416;761;;;0,079922392;2,429503173;Only 25 % of the dataframes left!!!;85;44;18;43;76;0,071428571;0,997507123;0,983859649;40,78947368;0,071428571;0,3;0,115384615;0,3;0,98630137;0,543958097;0,140492556;1;0,977272727;0,022727273;2,447170096;2,576896725;2,569471765;68,43624801;72,1990872;61,29889851;62,31694689
0;6;7;422;21;;;Amur Tiger;Deletion of every row with missing values;;10;0,491841492;0,522727273;0,489154426;0,057336244;;0,057336244;0,522383697;641;;;-0,030885781;;only little mistakes in clusters as there were very little animals with more than 1 trail left+ they were all missclasified!;85;44;18;25;30;0;0,983682984;0,970114943;20;0;0;;0;0,985981308;0;-0,015124259;19;0,568181818;0,431818182;;;;37,46341605;34,63250197;49,18620247;
0;1;1;0;0;;;Amur Tiger;Deletion of every row with missing values;;15;0;1;0;-0,772727273;;0;0,101818182;616;;;-1;;error not enough data to estimate covarianz matrix;85;44;18;10;1;0;0;0;100;0;0;;0;0;0;-1;34;0,227272727;0,772727273;;;;7,239395415;1,539302504;4,787732157;
0;1;1;0;0;;;Amur Tiger;Deletion of every row with missing values;;20;0;1;0;-0,954545455;;0;0,00969697;607;;;-1;;error not enough data to estimate covarianz matrix;85;44;18;2;1;0;0;0;100;0;0;;0;0;0;-1;42;0,045454545;0,954545455;;;;11,44312085;1,539302504;4,787732157;
45;6;84;3435;38;25,9;1,75;Amur Tiger;Control;;0;0,929241262;0,136363636;0,904943925;0,904943925;1210;0,904943925;0,951838255;1210;;;0,792877625;1,708034212;;85;44;18;44;85;0,882352941;0,976129582;0,974789916;12,94117647;0,882352941;0,348837209;0,5;0,348837209;0,998256321;0,590109269;0,5458697;0;1;0;1,687604843;1,700647459;1,693608047;86,1372139;89,32919137;87,6158714;88,41619158
45;6;76;3443;37;10;1,677;Amur Tiger;MIssRanger;;1;0,930377948;0,159090909;0,89404621;0,89404621;1210;0,89404621;0,946316746;1210;;;0,771287039;1,65098315;;85;44;18;44;85;0,882352941;0,978402955;0,977030812;12,94117647;0,882352941;0,357142857;0,508474576;0,357142857;0,99825784;0,597093508;0,552637559;0;1;0;1,635748359;1,663700015;1,611098869;86,48515571;88,23515408;88,59224642;88,59261555
48;3;86;3433;36;4,1;1,578;Amur Tiger;MIssRanger;;2,5;0,958368855;0,181818182;0,896702996;0,896702996;1210;0,896702996;0,947662851;1210;;;0,776550673;1,63520586;;85;44;18;44;85;0,941176471;0,975561239;0,975070028;11,76470588;0,921568627;0,335714286;0,492146597;0,335714286;0,998833819;0,579070619;0,547236341;0;1;0;1,608702847;1,636420983;1,581560458;87,02950604;88,54714779;88,0099629;89,32513574
43;8;128;3391;34;4,8;1,66;Amur Tiger;MIssRanger;;5;0,903381643;0,227272727;0,846005638;0,846005638;1210;0,846005638;0,92197619;1210;;;0,676108915;1,623988472;;85;44;18;44;85;0,843137255;0,96362603;0,961904762;9,411764706;0,862745098;0,27672956;0,419047619;0,27672956;0,997947816;0,525510856;0,477493638;0;1;0;1,6337095;1,666810787;1,619363536;85,5265952;87,60424196;87,6158714;86,16665979
36;15;121;3398;37;15,1;1,725;Amur Tiger;MIssRanger;;10;0,835748792;0,159090909;0,846282727;0,846282727;1210;0,846282727;0,922116581;1210;;;0,676657883;1,616266951;;85;44;18;44;85;0,705882353;0,965615232;0,961904762;11,76470588;0,862745098;0,212560386;0,341085271;0,212560386;0,997918525;0,460562642;0,414536212;0;1;0;1,615588205;1,649263995;1,608550298;84,70293279;87,03434365;82,60536364;84,43769352
30;21;83;3436;40;36,5;1,803;Amur Tiger;MIssRanger;;15;0,782324524;0,090909091;0,853731509;0,853731509;1210;0,853731509;0,925890631;1210;;;0,691415433;1,661850979;;85;44;18;44;85;0,588235294;0,976413754;0,970868347;18,82352941;0,823529412;0,219895288;0,347107438;0,219895288;0,997337278;0,468305208;0,411949089;0;1;0;1,639987983;1,675229967;1,636802125;84,19040199;86,74609571;82,25377118;83,51012872
23;28;61;3458;43;95,5;1,904;Amur Tiger;MIssRanger;;20;0,716822961;0,022727273;0,855084351;0,855084351;1210;0,855084351;0,926576071;1210;;;0,694095688;1,69980425;;85;44;18;44;85;0,450980392;0,98266553;0,975070028;22,35294118;0,705882353;0,220858896;0,336448598;0,220858896;0,9955973;0,46892059;0,380763375;0;1;0;1,707591073;1,747611707;1,718774117;82,31961586;85,64389424;78,33035481;80,08182537
47;4;78;3441;39;15;1,693;Amur Tiger;MICE PMM;1;1;0,94970162;0,113636364;0,926742615;0,926742615;;0,926742615;0,962882925;;;;0,836065256;;;85;44;18;44;85;0,921568627;0,977834612;0,977030812;;;;;;;;;;;;;;;;;;
38;13;69;3450;37;40,3;1,823;Amur Tiger;MICE PMM;2;1;0,862745098;0,159090909;0,859908945;0,859908945;;0,859908945;0,929020532;;;;0,703654189;;;85;44;18;44;85;0,745098039;0,980392157;0,977030812;;;;;;;;;;;;;;;;;;
41;10;78;3441;36;17,2;1,747;Amur Tiger;MICE PMM;3;1;0,89087809;0,181818182;0,862637449;0,862637449;;0,862637449;0,930402974;;;;0,709059909;;;85;44;18;44;85;0,803921569;0,977834612;0,97535014;;;;;;;;;;;;;;;;;;
42;9;72;3447;42;20,5;1,717;Amur Tiger;MICE PMM;1;2,5;0,901534527;0,045454545;0,936844924;0,936844924;;0,936844924;0,968001428;;;;0,856079981;;;85;44;18;44;85;0,823529412;0,979539642;0,977310924;;;;;;;;;;;;;;;;;;
42;9;85;3434;38;45,1;1,808;Amur Tiger;MICE PMM;2;2,5;0,899687411;0,136363636;0,890026801;0,890026801;;0,890026801;0,944280246;;;;0,763323775;;;85;44;18;44;85;0,823529412;0,975845411;0,973669468;;;;;;;;;;;;;;;;;;
39;12;87;3432;39;21,2;1,762;Amur Tiger;MICE PMM;3;2,5;0,869991475;0,113636364;0,886509411;0,886509411;;0,886509411;0,942498102;;;;0,756355111;;;85;44;18;44;85;0,764705882;0,975277067;0,972268908;;;;;;;;;;;;;;;;;;
43;8;78;3441;38;13,8;1,715;Amur Tiger;MICE PMM;1;5;0,910485934;0,136363636;0,895477288;0,895477288;;0,895477288;0,947041826;;;;0,774122297;;;85;44;18;44;85;0,843137255;0,977834612;0,975910364;;;;;;;;;;;;;;;;;;
47;4;75;3444;40;34,5;1,766;Amur Tiger;MICE PMM;2;5;0,950127877;0,090909091;0,938429217;0,938429217;;0,938429217;0,968804136;;;;0,859218786;;;85;44;18;44;85;0,921568627;0,978687127;0,977871148;;;;;;;;;;;;;;;;;;
44;7;106;3413;37;8;1,685;Amur Tiger;MICE PMM;3;5;0,916311452;0,159090909;0,886946232;0,886946232;;0,886946232;0,942719424;;;;0,757220543;;;85;44;18;44;85;0,862745098;0,969877806;0,968347339;;;;;;;;;;;;;;;;;;
41;10;104;3415;39;13,4;1,677;Amur Tiger;MICE PMM;1;10;0,887183859;0,113636364;0,895187161;0,895187161;;0,895187161;0,946894828;;;;0,773547495;;;85;44;18;44;85;0,803921569;0,970446149;0,968067227;;;;;;;;;;;;;;;;;;
28;23;62;3457;43;62,3;1,827;Amur Tiger;MICE PMM;2;10;0,765700483;0,022727273;0,879754979;0,879754979;;0,879754979;0,939075856;;;;0,74297321;;;85;44;18;44;85;0,549019608;0,982381358;0,976190476;;;;;;;;;;;;;;;;;;
38;13;91;3428;40;74,7;1,775;Amur Tiger;MICE PMM;3;10;0,85961921;0,090909091;0,892745525;0,892745525;;0,892745525;0,945657733;;;;0,768710119;;;85;44;18;44;85;0,745098039;0,974140381;0,970868347;;;;;;;;;;;;;;;;;;
29;22;88;3431;43;90,3;1,895;Amur Tiger;MICE PMM;1;15;0,771810173;0,022727273;0,882838808;0,882838808;;0,882838808;0,940638329;;;;0,749082901;;;85;44;18;44;85;0,568627451;0,974992896;0,969187675;;;;;;;;;;;;;;;;;;
24;27;98;3421;41;84,1;1,881;Amur Tiger;MICE PMM;2;15;0,721369707;0,068181818;0,834436392;0,834436392;;0,834436392;0,916114439;;;;0,653187889;;;85;44;18;44;85;0,470588235;0,972151179;0,964985994;;;;;;;;;;;;;;;;;;
27;24;111;3408;38;21,7;1,767;Amur Tiger;MICE PMM;3;15;0,748934356;0,136363636;0,813935126;0,813935126;;0,813935126;0,905727131;;;;0,61257072;;;85;44;18;44;85;0,529411765;0,968456948;0,962184874;;;;;;;;;;;;;;;;;;
26;25;82;3437;43;94,4;1,939;Amur Tiger;MICE PMM;1;20;0,743250924;0,022727273;0,868423702;0,868423702;;0,868423702;0,933334676;;;;0,720523651;;;85;44;18;44;85;0,509803922;0,976697926;0,970028011;;;;;;;;;;;;;;;;;;
21;30;79;3440;43;91;1,901;Amur Tiger;MICE PMM;2;20;0,694657573;0,022727273;0,843896508;0,843896508;;0,843896508;0,920907564;;;;0,6719303;;;85;44;18;44;85;0,411764706;0,97755044;0,969467787;;;;;;;;;;;;;;;;;;
31;20;120;3399;40;55,8;1,854;Amur Tiger;MICE PMM;3;20;0,78687127;0,090909091;0,856026451;0,856026451;;0,856026451;0,927053402;;;;0,695962179;;;85;44;18;44;85;0,607843137;0,965899403;0,960784314;;;;;;;;;;;;;;;;;;
43;8;59;3460;40;55,8;1,822;Amur Tiger;MICE RF;1;1;0,913185564;0,090909091;0,919782812;0,919782812;;0,919782812;0,959356625;;;;0,822276473;;;85;44;18;44;85;0,843137255;0,983233873;0,981232493;;;;;;;;;;;;;;;;;;
44;7;58;3461;40;28,8;1,743;Amur Tiger;MICE RF;2;1;0,923131571;0,090909091;0,924802998;0,924802998;;0,924802998;0,961900186;;;;0,832222481;;;85;44;18;44;85;0,862745098;0,983518045;0,981792717;;;;;;;;;;;;;;;;;;
44;7;74;3445;38;53,3;1,823;Amur Tiger;MICE RF;3;1;0,920858198;0,136363636;0,900712625;0,900712625;;0,900712625;0,949694397;;;;0,784494562;;;85;44;18;44;85;0,862745098;0,978971299;0,977310924;;;;;;;;;;;;;;;;;;
36;15;47;3472;46;67,3;2,01;Amur Tiger;MICE RF;1;2,5;0,846263143;0,045454545;0,908947034;0,908947034;;0,908947034;0,953866497;;;;0,800808597;;;85;44;18;44;85;0,705882353;0,986643933;0,982633053;;;;;;;;;;;;;;;;;;
39;12;61;3458;41;42,4;1,813;Amur Tiger;MICE RF;2;2,5;0,873685706;0,068181818;0,911316953;0,911316953;;0,911316953;0,955067256;;;;0,805503888;;;85;44;18;44;85;0,764705882;0,98266553;0,979551821;;;;;;;;;;;;;;;;;;
28;23;33;3486;47;44,7;2,046;Amur Tiger;MICE RF;3;2,5;0,769820972;0,068181818;0,858891869;0,858891869;;0,858891869;0,928505214;;;;0,701639154;;;85;44;18;44;85;0,549019608;0,990622336;0,984313725;;;;;;;;;;;;;;;;;;
27;24;48;3471;42;86,4;1,923;Amur Tiger;MICE RF;1;5;0,757885763;0,045454545;0,864339097;0,864339097;;0,864339097;0,931265142;;;;0,712431218;;;85;44;18;44;85;0,529411765;0,986359761;0,979831933;;;;;;;;;;;;;;;;;;
27;24;64;3455;43;92,9;1,923;Amur Tiger;MICE RF;2;5;0,75561239;0,022727273;0,874663076;0,874663076;;0,874663076;0,936495959;;;;0,732885117;;;85;44;18;44;85;0,529411765;0,981813015;0,97535014;;;;;;;;;;;;;;;;;;
38;13;83;3436;37;8,1;1,714;Amur Tiger;MICE RF;3;5;0,860755897;0,159090909;0,858904908;0,858904908;;0,858904908;0,92851182;;;;0,701664987;;;85;44;18;44;85;0,745098039;0,976413754;0,973109244;;;;;;;;;;;;;;;;;;
25;26;58;3461;40;45,5;1,849;Amur Tiger;MICE RF;1;10;0,736857062;0,090909091;0,830782088;0,830782088;;0,830782088;0,914262924;;;;0,645947971;;;85;44;18;44;85;0,490196078;0,983518045;0,976470588;;;;;;;;;;;;;;;;;;
31;20;91;3428;44;100;1,895;Amur Tiger;MICE RF;2;10;0,790991759;0;0,903992045;0,903992045;;0,903992045;0,95135597;;;;0,790991759;;;85;44;18;44;85;0,607843137;0,974140381;0,968907563;;;;;;;;;;;;;;;;;;
27;24;86;3433;40;56,8;1,836;Amur Tiger;MICE RF;3;10;0,752486502;0,090909091;0,838670951;0,838670951;;0,838670951;0,918259949;;;;0,661577411;;;85;44;18;44;85;0,529411765;0,975561239;0,969187675;;;;;;;;;;;;;;;;;;
24;27;87;3432;40;76,7;1,854;Amur Tiger;MICE RF;1;15;0,722932651;0,090909091;0,823753827;0,823753827;;0,823753827;0,910701939;;;;0,63202356;;;85;44;18;44;85;0,470588235;0,975277067;0,968067227;;;;;;;;;;;;;;;;;;
22;29;86;3433;40;76,7;1,884;Amur Tiger;MICE RF;2;15;0,703466894;0,090909091;0,813928606;0,813928606;;0,813928606;0,905723827;;;;0,612557803;;;85;44;18;44;85;0,431372549;0,975561239;0,967787115;;;;;;;;;;;;;;;;;;
18;33;69;3450;43;84;1,914;Amur Tiger;MICE RF;3;15;0,666666667;0,022727273;0,829768271;0,829768271;;0,829768271;0,913749257;;;;0,643939394;;;85;44;18;44;85;0,352941176;0,980392157;0,971428571;;;;;;;;;;;;;;;;;;
9;42;91;3428;45;86,6;1,955;Amur Tiger;MICE RF;1;20;0,575305485;0,022727273;0,783654278;0,783654278;;0,783654278;0,890384834;;;;0,552578212;;;85;44;18;44;85;0,176470588;0,974140381;0,962745098;;;;;;;;;;;;;;;;;;
18;33;81;3438;45;82,5;1,958;Amur Tiger;MICE RF;2;20;0,664961637;0,022727273;0,828907668;0,828907668;;0,828907668;0,913313218;;;;0,642234364;;;85;44;18;44;85;0,352941176;0,976982097;0,968067227;;;;;;;;;;;;;;;;;;
19;32;111;3408;40;89;1,912;Amur Tiger;MICE RF;3;20;0,670502984;0,090909091;0,797290276;0,797290276;;0,797290276;0,89729374;;;;0,579593893;;;85;44;18;44;85;0,37254902;0,968456948;0,959943978;;;;;;;;;;;;;;;;;;
116;10;35;5725;38;100;1,877;Cheetah;Miss Forrest;;1;0,957279266;0;0,987924639;0,987924639;1562;0,987924639;0,993881817;1562;;;0,957279266;1,81525891;;109;38;18;38;109;0,920634921;0,993923611;0,99235474;6,422018349;0,936507937;0,781456954;0,85198556;0,781456954;0,998605057;0,883383759;0,852094571;0;1;0;1,795602076;1,765931959;1,799390543;96,34181206;96,13371968;94,40157524;98,07504341
120;6;41;5719;38;100;1,791;Cheetah;Miss Forrest;;2,5;0,972631448;0;0,995673558;0,995673558;1562;0,995673558;0,997807936;1562;;;0,972631448;1,800612266;;109;38;18;38;109;0,952380952;0,992881944;0,992014951;5,504587156;0,936507937;0,746835443;0,830985915;0,746835443;0,998603352;0,863592715;0,832425786;0;1;0;1,78927663;1,76298705;1,792968253;96,22169463;96,05060951;94,40157524;97,62406395
125;1;62;5698;35;24,7;1,602;Cheetah;Miss Forrest;;5;0,990649802;0,078947368;0,964920014;0,964920014;1562;0,964920014;0,98222614;1562;;;0,911702433;1,762431875;;109;38;18;38;109;0,992063492;0,989236111;0,989296636;5,504587156;0,96031746;0,699421965;0,809364548;0,699421965;0,999124803;0,835948463;0,815181166;0;1;0;1,754106908;1,732322296;1,757263735;97,14117792;96,58983736;94,40157524;97,90365937
123;3;166;5594;34;2,9;1,558;Cheetah;Miss Forrest;;10;0,973685516;0,105263158;0,943074663;0,943074663;1562;0,943074663;0,971157829;1562;;;0,868422358;1,711547876;;109;38;18;38;109;0,976190476;0,971180556;0,971287802;5,504587156;0,976190476;0,510373444;0,670299728;0,510373444;0,999468556;0,7142144;0,698038842;0;1;0;1,713998678;1,711291763;1,720945267;96,75890804;96,26069547;94,13154014;95,41315335
126;0;295;5465;31;5,2;1,486;Cheetah;Miss Forrest;;15;0,974392361;0,184210526;0,903583241;0,903583241;1562;0,903583241;0,951148842;1562;;;0,790181835;1,690066397;;109;38;18;38;109;1;0,948784722;0,949881074;5,504587156;0,992063492;0,457875458;0,626566416;0,457875458;0,999821842;0,676604673;0,665059775;0;1;0;1,693606659;1,696402155;1,702487655;96,99438496;96,35897732;94,05507172;94,95592646
118;8;450;5310;32;38;1,587;Cheetah;Miss Forrest;;20;0,929191468;0,157894737;0,894051102;0,894051102;1562;0,894051102;0,946319225;1562;;;0,771296731;1,719281308;;109;38;18;38;109;0,936507937;0,921875;0,922188243;9,174311927;0,952380952;0,32967033;0,489795918;0,32967033;0,998913437;0,573857231;0,546825152;0;1;0;1,713192234;1,72503031;1,73122571;93,4713953;94,08300997;90,92584385;90,56909959
94;6;34;5726;37;97,5;1,887;Cheetah;Mean Imputation;;1;0,967048611;0,026315789;0,979572923;0,979572923;1562;0,979572923;0,989650281;1562;;;0,940732822;1,943275398;;109;38;18;38;109;0,94;0,994097222;0,993174061;6,422018349;0,888888889;0,767123288;0,823529412;0,767123288;0,997560976;0,874786977;0,821708941;0;1;0;1,938700676;1,942548648;1,926876784;90,18565917;93,21231291;94,16970115;95,19106174
117;9;55;5705;39;46,3;1,93;Cheetah;Mean Imputation;;2,5;0,959511409;0,026315789;0,975768567;0,975768567;1562;0,975768567;0,987722741;1562;;;0,933195619;1,834886817;;109;38;18;38;109;0,928571429;0,990451389;0,989126741;3,669724771;0,96031746;0,720238095;0,823129252;0,720238095;0,999125568;0,848297292;0,827615659;0;1;0;1,845630657;1,853020393;1,831734002;93,33878064;95,10307274;94,40157524;97,39699491
116;10;102;5658;39;39;1,94;Cheetah;Mean Imputation;;5;0,951463294;0,026315789;0,97170633;0,97170633;1562;0,97170633;0,985664541;1562;;;0,925147504;1,847668823;;109;38;18;38;109;0,920634921;0,982291667;0,980971797;3,669724771;0,928571429;0,632432432;0,752411576;0,632432432;0,99842133;0,794628234;0,760490105;0;1;0;1,867434589;1,883562471;1,855347147;91,47789646;93,94480566;94,40157524;94,88714735
110;16;135;5625;39;38;1,906;Cheetah;Mean Imputation;;10;0,924789187;0,026315789;0,958242739;0,958242739;1562;0,958242739;0,978842988;1562;;;0,898473397;1,979249361;;109;38;18;38;109;0,873015873;0,9765625;0,974345906;11,9266055;0,80952381;0,507462687;0,623853211;0,507462687;0,995778364;0,710858892;0,631455586;0;1;0;1,971751108;1,998391988;1,966907595;85,31895332;90,16823417;89,5522072;88,35523402
102;24;369;5391;38;100;1,89;Cheetah;Mean Imputation;;15;0,872730655;0;0,945249249;0,945249249;1562;0,945249249;0,972259619;1562;;;0,872730655;1,937641971;;109;38;18;38;109;0,80952381;0,9359375;0,933231397;16,51376147;0,80952381;0,281767956;0,418032787;0,281767956;0,995655322;0,529663822;0,460497742;0;1;0;1,91559677;1,954974279;1,924961562;82,55625231;88,25670025;81,972716;83,56602579
103;23;886;4874;36;77,6;1,869;Cheetah;Mean Imputation;;20;0,831820437;0,052631579;0,898034604;0,898034604;1562;0,898034604;0,948337533;1562;;;0,779188858;1,946270569;;109;38;18;38;109;0,817460317;0,846180556;0,845565749;22,01834862;0,738095238;0,165480427;0,270348837;0,165480427;0,993801653;0,405530174;0,323413084;0;1;0;1,916785452;1,947378907;1,936348342;75,59369219;83,73016072;76,41973074;77,29853684
99;27;37;5723;41;;;Cheetah;Deletion of every row with missing values;;1;0,889645337;0,078947368;0,913938633;0,913938633;;0,913938633;0,956395574;1393;;;0,810697969;2,144075974;;109;38;18;38;109;0,785714286;0,993576389;0,989126741;10,09174312;0,785714286;0,727941176;0,755725191;0,727941176;0,995304348;0,851189179;0,750745291;0;1;0;2,05922665;2,06006704;2,071733989;92,10259181;89,24600114;90,25638977;92,36084458
72;54;19;5741;58;0;2,727;Cheetah;Deletion of every row with missing values;;2,5;0,78406498;0,526315789;0,634841147;0,634841147;;0,634841147;0,814986181;1202;;;0,257749191;2,543950674;;109;38;18;38;109;0,571428571;0,996701389;0,987597689;22,01834862;0,581395349;0,79787234;0,67264574;0,79787234;0,990681622;0,889065501;0,675174402;0;1;0;2,377614586;2,38163362;2,395779642;81,58766608;82,32586326;82,48628386;84,48948358
11;91;6;4645;81;0;3,199;Cheetah;Deletion of every row with missing values;;5;0,553276546;1,131578947;0,212849262;0,212849262;;0,212849262;0,60117696;991;;;-0,578302401;3,370136281;Only 25 % of the dataframes left!!! 38 cheetahs in total but 4 with only 1 print!;109;38;18;38;98;0,107843137;0,998709955;0,979591837;30,6122449;0,107843137;0,647058824;0,18487395;0,647058824;0,980785473;0,796634103;0,258647929;0;1;0;3,089464249;3,154670996;3,136986479;60,91007923;69,41746976;66,66920238;62,90742727
